Артикул;Номенклатура;Вид номенклатуры;Подвид;Текстовое описание;Файл картинки;*Цена Евро;*Цена РУБ;*Бренд;*Наличие;Скидка партнера 1;Скидка партнера 2;Скидка партнера 3;Срок поставки;Файл сертификат;Файл инструкция;Популярные товары;*Мощность горелки, кВт МИН;*Мощность горелки, кВт МАКС;Тепловая мощность, кВт;Расход газа, м3/ч;Электропитание, В/Фаза/Гц;Режим работы;Температура в помещении, °C;Макс. температура воздуха на горение, °C;Степень электрической защиты;Электрическая мощность двигателя, кВт;Электрическая мощность общая, кВт;Уровень шума, дБ;Выбросы CO(3), мг/кВт•ч;Выбросы NOx(3), мг/кВт•ч
BU030060;Горелка газовая ExEco RS 34;Горелки для котлов отопления;Горелки газовые;"Горелки RS предназначены для отопления и технологических процессов, таких как бойлеры, котлы и парогенераторы, и характеризуются процессом горения с низкими выбросами загрязняющих веществ в соответствии с классом 2 стандартов EN 676 (NOx менее 120 мг/кВт·ч). Они оснащены микропроцессорным блоком управления и безопасности горелки Siemens RMG88.62C2 с индикацией состояния работы горелки и диагностикой сбоев. Повышенная производительность вентиляторов и головки горения обеспечивают эксплуатационную гибкость и превосходные характеристики во всех рабочих областях.



Моноблочные горелки обеспечивают простоту установки, техобслуживания и безопасную и надежную работу, отличаются высокой эффективностью сгорания и прочностью, характерными для горелок, в сочетании с самыми передовыми техническими и вентиляционными решениями.

Горелки RS могут комбинироваться с различными газовыми рампами, которые подбираются в соответствии с давлением газа в сети и требуемым типом рампы.



ФУНКЦИОНАЛЬНЫЕ ХАРАКТЕРИСТИКИ

• Фронтальный доступ ко всем узлам горелки.

• Настройка горелки без снятия с теплогенератора.

• Наличие воздушной заслонки, закрывающейся при выключении горелки (предотвращает потери тепла через

дымоход теплогенератора).

• Наличие газовой дроссельной заслонки, управляемой серводвигателем (позволяет использовать с горелкой

одноступенчатую газовую рампу или мультиблок).

• Реле минимального давления воздуха, обеспечивающее блокировку горелки в случае нехватки воздуха в

головке горения.

• Вентилятор горелки со специальной формой лопастей (пониженный уровень шума).

• Подача газа может осуществляться как с правой, так и с левой стороны.

• Блок управления и безопасности горелки с функциями диагностики.

• Смотровое окно для наблюдения за пламенем.

• Салазки для простой установки и технического обслуживания.

• Фильтр защиты от радиопомех.";ExEco RS.png;;218 794;ExEco;1;2;3;5;;ExEco_cerificate.pdf;ExEco RS 34-44-50.pdf;;45;390;45/125?390;4,5/12,5?39;230/1/50;прерывистый (1 остановка каждые 24 часа);0 - 40;60;IP44;0,3;0,6;70;< 40;< 120
BU030070;Горелка газовая ExEco RS 44;Горелки для котлов отопления;Горелки газовые;"Горелки RS предназначены для отопления и технологических процессов, таких как бойлеры, котлы и парогенераторы, и характеризуются процессом горения с низкими выбросами загрязняющих веществ в соответствии с классом 2 стандартов EN 676 (NOx менее 120 мг/кВт·ч). Они оснащены микропроцессорным блоком управления и безопасности горелки Siemens RMG88.62C2 с индикацией состояния работы горелки и диагностикой сбоев. Повышенная производительность вентиляторов и головки горения обеспечивают эксплуатационную гибкость и превосходные характеристики во всех рабочих областях.



Моноблочные горелки обеспечивают простоту установки, техобслуживания и безопасную и надежную работу, отличаются высокой эффективностью сгорания и прочностью, характерными для горелок, в сочетании с самыми передовыми техническими и вентиляционными решениями.

Горелки RS могут комбинироваться с различными газовыми рампами, которые подбираются в соответствии с давлением газа в сети и требуемым типом рампы.



ФУНКЦИОНАЛЬНЫЕ ХАРАКТЕРИСТИКИ

• Фронтальный доступ ко всем узлам горелки.

• Настройка горелки без снятия с теплогенератора.

• Наличие воздушной заслонки, закрывающейся при выключении горелки (предотвращает потери тепла через

дымоход теплогенератора).

• Наличие газовой дроссельной заслонки, управляемой серводвигателем (позволяет использовать с горелкой

одноступенчатую газовую рампу или мультиблок).

• Реле минимального давления воздуха, обеспечивающее блокировку горелки в случае нехватки воздуха в

головке горения.

• Вентилятор горелки со специальной формой лопастей (пониженный уровень шума).

• Подача газа может осуществляться как с правой, так и с левой стороны.

• Блок управления и безопасности горелки с функциями диагностики.

• Смотровое окно для наблюдения за пламенем.

• Салазки для простой установки и технического обслуживания.

• Фильтр защиты от радиопомех.";ExEco RS.png;;252 380;ExEco;1;2;3;5;;ExEco_cerificate.pdf;ExEco RS 34-44-50.pdf;;80;550;80/203?550;8/20,3?55;230/1/50;прерывистый (1 остановка каждые 24 часа);0 - 40;60;IP44;0,4;0,7;72;< 40;< 120
BU040030;Горелка газовая ExEco RS 50;Горелки для котлов отопления;Горелки газовые;"Горелки RS предназначены для отопления и технологических процессов, таких как бойлеры, котлы и парогенераторы, и характеризуются процессом горения с низкими выбросами загрязняющих веществ в соответствии с классом 2 стандартов EN 676 (NOx менее 120 мг/кВт·ч). Они оснащены микропроцессорным блоком управления и безопасности горелки Siemens RMG88.62C2 с индикацией состояния работы горелки и диагностикой сбоев. Повышенная производительность вентиляторов и головки горения обеспечивают эксплуатационную гибкость и превосходные характеристики во всех рабочих областях.



Моноблочные горелки обеспечивают простоту установки, техобслуживания и безопасную и надежную работу, отличаются высокой эффективностью сгорания и прочностью, характерными для горелок, в сочетании с самыми передовыми техническими и вентиляционными решениями.

Горелки RS могут комбинироваться с различными газовыми рампами, которые подбираются в соответствии с давлением газа в сети и требуемым типом рампы.



ФУНКЦИОНАЛЬНЫЕ ХАРАКТЕРИСТИКИ

• Фронтальный доступ ко всем узлам горелки.

• Настройка горелки без снятия с теплогенератора.

• Наличие воздушной заслонки, закрывающейся при выключении горелки (предотвращает потери тепла через

дымоход теплогенератора).

• Наличие газовой дроссельной заслонки, управляемой серводвигателем (позволяет использовать с горелкой

одноступенчатую газовую рампу или мультиблок).

• Реле минимального давления воздуха, обеспечивающее блокировку горелки в случае нехватки воздуха в

головке горения.

• Вентилятор горелки со специальной формой лопастей (пониженный уровень шума).

• Подача газа может осуществляться как с правой, так и с левой стороны.

• Блок управления и безопасности горелки с функциями диагностики.

• Смотровое окно для наблюдения за пламенем.

• Салазки для простой установки и технического обслуживания.

• Фильтр защиты от радиопомех.";ExEco RS.png;;253 502;ExEco;1;2;3;5;;ExEco_cerificate.pdf;ExEco RS 34-44-50.pdf;;116;581;116/290?581;11,6/29?58;400/3/50;прерывистый (1 остановка каждые 24 часа);0 - 40;60;IP44;0,65;0,75;72;< 40;< 120
BU050040 / BU050300;Горелка газовая ExEco RS 70;Горелки для котлов отопления;Горелки газовые;"Горелки RS предназначены для отопления и технологических процессов, таких как бойлеры, котлы и парогенераторы, и характеризуются процессом горения с низкими выбросами загрязняющих веществ в соответствии с классом 2 стандартов EN 676 (NOx менее 120 мг/кВт·ч). Они оснащены микропроцессорным блоком управления и безопасности горелки Siemens RMG88.62C2 с индикацией состояния работы горелки и диагностикой сбоев. Повышенная производительность вентиляторов и головки горения обеспечивают эксплуатационную гибкость и превосходные характеристики во всех рабочих областях.



Моноблочные горелки обеспечивают простоту установки, техобслуживания и безопасную и надежную работу, отличаются высокой эффективностью сгорания и прочностью, характерными для горелок, в сочетании с самыми передовыми техническими и вентиляционными решениями.

Горелки RS могут комбинироваться с различными газовыми рампами, которые подбираются в соответствии с давлением газа в сети и требуемым типом рампы.



ФУНКЦИОНАЛЬНЫЕ ХАРАКТЕРИСТИКИ

• Фронтальный доступ ко всем узлам горелки.

• Настройка горелки без снятия с теплогенератора.

• Наличие воздушной заслонки, закрывающейся при выключении горелки (предотвращает потери тепла через

дымоход теплогенератора).

• Наличие газовой дроссельной заслонки, управляемой серводвигателем (позволяет использовать с горелкой

одноступенчатую газовую рампу или мультиблок).

• Реле минимального давления воздуха, обеспечивающее блокировку горелки в случае нехватки воздуха в

головке горения.

• Вентилятор горелки со специальной формой лопастей (пониженный уровень шума).

• Подача газа может осуществляться как с правой, так и с левой стороны.

• Блок управления и безопасности горелки с функциями диагностики.

• Смотровое окно для наблюдения за пламенем.

• Салазки для простой установки и технического обслуживания.

• Фильтр защиты от радиопомех.";ExEco RS.png;;352 763;ExEco;1;2;3;5;;ExEco_cerificate.pdf;ExEco RS 70-100-130.pdf;;192;814;192/465?814;19/47?81;400/3/50;прерывистый (1 остановка каждые 24 часа);0 - 40;60;IP44;1,1;1,4;75;< 40;< 120
BU050050;Горелка газовая ExEco RS 100;Горелки для котлов отопления;Горелки газовые;"Горелки RS предназначены для отопления и технологических процессов, таких как бойлеры, котлы и парогенераторы, и характеризуются процессом горения с низкими выбросами загрязняющих веществ в соответствии с классом 2 стандартов EN 676 (NOx менее 120 мг/кВт·ч). Они оснащены микропроцессорным блоком управления и безопасности горелки Siemens RMG88.62C2 с индикацией состояния работы горелки и диагностикой сбоев. Повышенная производительность вентиляторов и головки горения обеспечивают эксплуатационную гибкость и превосходные характеристики во всех рабочих областях.



Моноблочные горелки обеспечивают простоту установки, техобслуживания и безопасную и надежную работу, отличаются высокой эффективностью сгорания и прочностью, характерными для горелок, в сочетании с самыми передовыми техническими и вентиляционными решениями.

Горелки RS могут комбинироваться с различными газовыми рампами, которые подбираются в соответствии с давлением газа в сети и требуемым типом рампы.



ФУНКЦИОНАЛЬНЫЕ ХАРАКТЕРИСТИКИ

• Фронтальный доступ ко всем узлам горелки.

• Настройка горелки без снятия с теплогенератора.

• Наличие воздушной заслонки, закрывающейся при выключении горелки (предотвращает потери тепла через

дымоход теплогенератора).

• Наличие газовой дроссельной заслонки, управляемой серводвигателем (позволяет использовать с горелкой

одноступенчатую газовую рампу или мультиблок).

• Реле минимального давления воздуха, обеспечивающее блокировку горелки в случае нехватки воздуха в

головке горения.

• Вентилятор горелки со специальной формой лопастей (пониженный уровень шума).

• Подача газа может осуществляться как с правой, так и с левой стороны.

• Блок управления и безопасности горелки с функциями диагностики.

• Смотровое окно для наблюдения за пламенем.

• Салазки для простой установки и технического обслуживания.

• Фильтр защиты от радиопомех.";ExEco RS.png;;407 518;ExEco;1;2;3;5;;ExEco_cerificate.pdf;ExEco RS 70-100-130.pdf;;232;1 163;232/698?1163;23/70?116;400/3/50;прерывистый (1 остановка каждые 24 часа);0 - 40;60;IP44;1,5;1,8;77;< 40;< 120
BU050060 / BU050320;Горелка газовая ExEco RS 130;Горелки для котлов отопления;Горелки газовые;"Горелки RS предназначены для отопления и технологических процессов, таких как бойлеры, котлы и парогенераторы, и характеризуются процессом горения с низкими выбросами загрязняющих веществ в соответствии с классом 2 стандартов EN 676 (NOx менее 120 мг/кВт·ч). Они оснащены микропроцессорным блоком управления и безопасности горелки Siemens RMG88.62C2 с индикацией состояния работы горелки и диагностикой сбоев. Повышенная производительность вентиляторов и головки горения обеспечивают эксплуатационную гибкость и превосходные характеристики во всех рабочих областях.



Моноблочные горелки обеспечивают простоту установки, техобслуживания и безопасную и надежную работу, отличаются высокой эффективностью сгорания и прочностью, характерными для горелок, в сочетании с самыми передовыми техническими и вентиляционными решениями.

Горелки RS могут комбинироваться с различными газовыми рампами, которые подбираются в соответствии с давлением газа в сети и требуемым типом рампы.



ФУНКЦИОНАЛЬНЫЕ ХАРАКТЕРИСТИКИ

• Фронтальный доступ ко всем узлам горелки.

• Настройка горелки без снятия с теплогенератора.

• Наличие воздушной заслонки, закрывающейся при выключении горелки (предотвращает потери тепла через

дымоход теплогенератора).

• Наличие газовой дроссельной заслонки, управляемой серводвигателем (позволяет использовать с горелкой

одноступенчатую газовую рампу или мультиблок).

• Реле минимального давления воздуха, обеспечивающее блокировку горелки в случае нехватки воздуха в

головке горения.

• Вентилятор горелки со специальной формой лопастей (пониженный уровень шума).

• Подача газа может осуществляться как с правой, так и с левой стороны.

• Блок управления и безопасности горелки с функциями диагностики.

• Смотровое окно для наблюдения за пламенем.

• Салазки для простой установки и технического обслуживания.

• Фильтр защиты от радиопомех.";ExEco RS.png;;431 828;ExEco;1;2;3;5;;ExEco_cerificate.pdf;ExEco RS 70-100-130.pdf;;372;1 512;372/930?1512;37/93?151;400/3/50;прерывистый (1 остановка каждые 24 часа);0 - 40;60;IP44;2,2;2,6;78,5;< 40;< 120
BU050070;Горелка газовая ExEco RS 150;Горелки для котлов отопления;Горелки газовые;"Горелки RS предназначены для отопления и технологических процессов, таких как бойлеры, котлы и парогенераторы, и характеризуются процессом горения с низкими выбросами загрязняющих веществ в соответствии с классом 2 стандартов EN 676 (NOx менее 120 мг/кВт·ч). Они оснащены микропроцессорным блоком управления и безопасности горелки Siemens RMG88.62C2 с индикацией состояния работы горелки и диагностикой сбоев. Повышенная производительность вентиляторов и головки горения обеспечивают эксплуатационную гибкость и превосходные характеристики во всех рабочих областях.



Моноблочные горелки обеспечивают простоту установки, техобслуживания и безопасную и надежную работу, отличаются высокой эффективностью сгорания и прочностью, характерными для горелок, в сочетании с самыми передовыми техническими и вентиляционными решениями.

Горелки RS могут комбинироваться с различными газовыми рампами, которые подбираются в соответствии с давлением газа в сети и требуемым типом рампы.



ФУНКЦИОНАЛЬНЫЕ ХАРАКТЕРИСТИКИ

• Фронтальный доступ ко всем узлам горелки.

• Настройка горелки без снятия с теплогенератора.

• Наличие воздушной заслонки, закрывающейся при выключении горелки (предотвращает потери тепла через

дымоход теплогенератора).

• Наличие газовой дроссельной заслонки, управляемой серводвигателем (позволяет использовать с горелкой

одноступенчатую газовую рампу или мультиблок).

• Реле минимального давления воздуха, обеспечивающее блокировку горелки в случае нехватки воздуха в

головке горения.

• Вентилятор горелки со специальной формой лопастей (пониженный уровень шума).

• Подача газа может осуществляться как с правой, так и с левой стороны.

• Блок управления и безопасности горелки с функциями диагностики.

• Смотровое окно для наблюдения за пламенем.

• Салазки для простой установки и технического обслуживания.

• Фильтр защиты от радиопомех.";ExEco RS.png;;485 087;ExEco;1;2;3;5;;ExEco_cerificate.pdf;ExEco RS 150-190-250.pdf;;300;1 850;300/900?1850;30/90?185;400/3/50;прерывистый (1 остановка каждые 24 часа);0 - 40;60;IP44;3;3,9;83,1;< 40;< 120
BU050080 / BU050340;Горелка газовая ExEco RS 190;Горелки для котлов отопления;Горелки газовые;"Горелки RS предназначены для отопления и технологических процессов, таких как бойлеры, котлы и парогенераторы, и характеризуются процессом горения с низкими выбросами загрязняющих веществ в соответствии с классом 2 стандартов EN 676 (NOx менее 120 мг/кВт·ч). Они оснащены микропроцессорным блоком управления и безопасности горелки Siemens RMG88.62C2 с индикацией состояния работы горелки и диагностикой сбоев. Повышенная производительность вентиляторов и головки горения обеспечивают эксплуатационную гибкость и превосходные характеристики во всех рабочих областях.



Моноблочные горелки обеспечивают простоту установки, техобслуживания и безопасную и надежную работу, отличаются высокой эффективностью сгорания и прочностью, характерными для горелок, в сочетании с самыми передовыми техническими и вентиляционными решениями.

Горелки RS могут комбинироваться с различными газовыми рампами, которые подбираются в соответствии с давлением газа в сети и требуемым типом рампы.



ФУНКЦИОНАЛЬНЫЕ ХАРАКТЕРИСТИКИ

• Фронтальный доступ ко всем узлам горелки.

• Настройка горелки без снятия с теплогенератора.

• Наличие воздушной заслонки, закрывающейся при выключении горелки (предотвращает потери тепла через

дымоход теплогенератора).

• Наличие газовой дроссельной заслонки, управляемой серводвигателем (позволяет использовать с горелкой

одноступенчатую газовую рампу или мультиблок).

• Реле минимального давления воздуха, обеспечивающее блокировку горелки в случае нехватки воздуха в

головке горения.

• Вентилятор горелки со специальной формой лопастей (пониженный уровень шума).

• Подача газа может осуществляться как с правой, так и с левой стороны.

• Блок управления и безопасности горелки с функциями диагностики.

• Смотровое окно для наблюдения за пламенем.

• Салазки для простой установки и технического обслуживания.

• Фильтр защиты от радиопомех.";ExEco RS.png;;499 898;ExEco;1;2;3;5;;ExEco_cerificate.pdf;ExEco RS 150-190-250.pdf;;470;2 290;470/1279?2290;47/128?229;400/3/50;прерывистый (1 остановка каждые 24 часа);0 - 40;60;IP44;4,5;5,5;83,1;< 40;< 120
BU050090 / BU050350;Горелка газовая ExEco RS 250;Горелки для котлов отопления;Горелки газовые;"Горелки RS предназначены для отопления и технологических процессов, таких как бойлеры, котлы и парогенераторы, и характеризуются процессом горения с низкими выбросами загрязняющих веществ в соответствии с классом 2 стандартов EN 676 (NOx менее 120 мг/кВт·ч). Они оснащены микропроцессорным блоком управления и безопасности горелки Siemens RMG88.62C2 с индикацией состояния работы горелки и диагностикой сбоев. Повышенная производительность вентиляторов и головки горения обеспечивают эксплуатационную гибкость и превосходные характеристики во всех рабочих областях.



Моноблочные горелки обеспечивают простоту установки, техобслуживания и безопасную и надежную работу, отличаются высокой эффективностью сгорания и прочностью, характерными для горелок, в сочетании с самыми передовыми техническими и вентиляционными решениями.

Горелки RS могут комбинироваться с различными газовыми рампами, которые подбираются в соответствии с давлением газа в сети и требуемым типом рампы.



ФУНКЦИОНАЛЬНЫЕ ХАРАКТЕРИСТИКИ

• Фронтальный доступ ко всем узлам горелки.

• Настройка горелки без снятия с теплогенератора.

• Наличие воздушной заслонки, закрывающейся при выключении горелки (предотвращает потери тепла через

дымоход теплогенератора).

• Наличие газовой дроссельной заслонки, управляемой серводвигателем (позволяет использовать с горелкой

одноступенчатую газовую рампу или мультиблок).

• Реле минимального давления воздуха, обеспечивающее блокировку горелки в случае нехватки воздуха в

головке горения.

• Вентилятор горелки со специальной формой лопастей (пониженный уровень шума).

• Подача газа может осуществляться как с правой, так и с левой стороны.

• Блок управления и безопасности горелки с функциями диагностики.

• Смотровое окно для наблюдения за пламенем.

• Салазки для простой установки и технического обслуживания.

• Фильтр защиты от радиопомех.";ExEco RS.png;;;ExEco;;2;3;5;4-6 недель;ExEco_cerificate.pdf;ExEco RS 150-190-250.pdf;;600;2 650;600/1250?2650;60/125?265;400/3/50;прерывистый (1 остановка каждые 24 часа);0 - 40;60;IP44;5,5;6,5;83;< 40;< 120
