Номенклатура;Вид номенклатуры;Подвид;Файл сертификат;Файл инструкция;Текстовое описание;Файл картинки;Цена Евро;Бренд;Мощность горелки мин., кВт;Мощность горелки макс., кВт;Вид топлива;Цена РУБ;Мощность котла, кВт;Паропроизводительность котла, кг пара в час;Рабочее давление котла, бар;Текстовое описание2;Наличие;Артикул;Скидка партнера 1;Скидка партнера 2;Скидка партнера 3;Срок поставки
"Горелка газовая FBR GAS X1 CE TC + R. CE D1/2""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 20-50 [Мкал/ч];
Тепловая мощность min. - max.: 23.2-58.1 [кВт];
Расход G20 (природный газ) min. - max.: 2.3-5.8 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 0.9-2.2 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 60 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 59-60 [Дб];
Вес горелки: 10 [кг]";FBR_GAS_X0.jpg;1887;FBR;23,2;58,1;Природный газ;;;;;;1;002305R057152;5;10;15;
"Горелка газовая FBR GAS X1 CE TL + R. CE D1/2""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 20-50 [Мкал/ч];
Тепловая мощность min. - max.: 23.2-58.1 [кВт];
Расход G20 (природный газ) min. - max.: 2.3-5.8 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 0.9-2.2 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 60 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 59-60 [Дб];
Вес горелки: 10 [кг]";FBR_GAS_X0.jpg;1970;FBR;23,2;58,1;Природный газ;;;;;;1;002306R057152;5;10;15;
"Горелка газовая FBR GAS X2 CE TC + R. CE D3/4""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 35-80 [Мкал/ч];
Тепловая мощность min. - max.: 40.7-93 [кВт];
Расход G20 (природный газ) min. - max.: 4.1-9.4 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 1.6-3.6 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 18/24 [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 60-61 [Дб];
Вес горелки: 10 [кг]";FBR_GAS_X2.jpg;2516;FBR;40,7;93;Природный газ;;;;;;1;002309R057153;5;10;15;
"Горелка газовая FBR GAS X2 CE TL + R. CE D3/4""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 35-80 [Мкал/ч];
Тепловая мощность min. - max.: 40.7-93 [кВт];
Расход G20 (природный газ) min. - max.: 4.1-9.4 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 1.6-3.6 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 18/24 [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 60-61 [Дб];
Вес горелки: 10 [кг]";FBR_GAS_X2.jpg;2599;FBR;40,7;93;Природный газ;;;;;;1;002310R057153;5;10;15;
"Горелка газовая FBR GAS X3 CE TC + R. CE D1""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 60-150 [Мкал/ч];
Тепловая мощность min. - max.: 69.8-174 [кВт];
Расход G20 (природный газ) min. - max.: 7-17.5 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 2.7-6.8 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 64-66 [Дб];
Вес горелки: 13 [кг]";FBR_GAS_X3.jpg;2864;FBR;69,8;174;Природный газ;;;;;;1;002677R057023;5;10;15;
"Горелка газовая FBR GAS X3 CE TL + R. CE D1""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 60-150 [Мкал/ч];
Тепловая мощность min. - max.: 69.8-174 [кВт];
Расход G20 (природный газ) min. - max.: 7-17.5 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 2.7-6.8 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 64-66 [Дб];
Вес горелки: 13 [кг]";FBR_GAS_X3.jpg;2947;FBR;69,8;174;Природный газ;;;;;;1;002678R057023;5;10;15;
"Горелка газовая FBR GAS X3 CE TC + R. CE D1""1/4-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 60-150 [Мкал/ч];
Тепловая мощность min. - max.: 69.8-174 [кВт];
Расход G20 (природный газ) min. - max.: 7-17.5 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 2.7-6.8 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 64-66 [Дб];
Вес горелки: 13 [кг]";FBR_GAS_X3.jpg;3120;FBR;69,8;174;Природный газ;;;;;;1;002677R057025;5;10;15;
"Горелка газовая FBR GAS X3 CE TL + R. CE D1""1/4-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 60-150 [Мкал/ч];
Тепловая мощность min. - max.: 69.8-174 [кВт];
Расход G20 (природный газ) min. - max.: 7-17.5 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 2.7-6.8 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 64-66 [Дб];
Вес горелки: 13 [кг]";FBR_GAS_X3.jpg;3203;FBR;69,8;174;Природный газ;;;;;;1;002678R057025;5;10;15;
"Горелка газовая FBR GAS X3 CE TC + R. CE D1""1/2-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 60-150 [Мкал/ч];
Тепловая мощность min. - max.: 69.8-174 [кВт];
Расход G20 (природный газ) min. - max.: 7-17.5 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 2.7-6.8 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 64-66 [Дб];
Вес горелки: 13 [кг]";FBR_GAS_X3.jpg;3617;FBR;69,8;174;Природный газ;;;;;;1;002677R057027;5;10;15;
"Горелка газовая FBR GAS X3 CE TL + R. CE D1""1/2-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 60-150 [Мкал/ч];
Тепловая мощность min. - max.: 69.8-174 [кВт];
Расход G20 (природный газ) min. - max.: 7-17.5 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 2.7-6.8 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 64-66 [Дб];
Вес горелки: 13 [кг]";FBR_GAS_X3.jpg;3700;FBR;69,8;174;Природный газ;;;;;;1;002678R057027;5;10;15;
