Номенклатура;Вид номенклатуры;Подвид;Файл сертификат;Файл инструкция;Текстовое описание;Файл картинки;Цена Евро;Бренд;Мощность горелки мин., кВт;Мощность горелки макс., кВт;Вид топлива;Цена РУБ;Мощность котла, кВт;Паропроизводительность котла, кг пара в час;Рабочее давление котла, бар;Текстовое описание2;Наличие;Артикул;Скидка партнера 1;Скидка партнера 2;Скидка партнера 3;Срок поставки
"Горелка газовая FBR GAS X5 CE TC + R. CE-CT D1""1/4-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 130-300 [Мкал/ч];
Тепловая мощность min. - max.: 151-349 [кВт];
Расход G20 (природный газ) min. - max.: 15.2-35.1 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 5.8-13.5 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 27/33 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 16/25 [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 67-71 [Дб];
Вес горелки: 24 [кг]";FBR_GAS_X5.jpg;4924;FBR;151;349;Природный газ;;;;;;1;CECT002756R057025;5;10;15;
"Горелка газовая FBR GAS X5 CE TL + R. CE-CT D1""1/4-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 130-300 [Мкал/ч];
Тепловая мощность min. - max.: 151-349 [кВт];
Расход G20 (природный газ) min. - max.: 15.2-35.1 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 5.8-13.5 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 27/33 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 16/25 [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 67-71 [Дб];
Вес горелки: 24 [кг]";FBR_GAS_X5.jpg;5007;FBR;151;349;Природный газ;;;;;;1;CECT002757R057025;5;10;15;
"Горелка газовая FBR GAS X5 CE TC + R. CE-CT D1""1/2-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 130-300 [Мкал/ч];
Тепловая мощность min. - max.: 151-349 [кВт];
Расход G20 (природный газ) min. - max.: 15.2-35.1 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 5.8-13.5 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 27/33 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 16/25 [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 67-71 [Дб];
Вес горелки: 24 [кг]";FBR_GAS_X5.jpg;5421;FBR;151;349;Природный газ;;;;;;1;CECT002756R057027;5;10;15;
"Горелка газовая FBR GAS X5 CE TL + R. CE-CT D1""1/2-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 130-300 [Мкал/ч];
Тепловая мощность min. - max.: 151-349 [кВт];
Расход G20 (природный газ) min. - max.: 15.2-35.1 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 5.8-13.5 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 27/33 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 16/25 [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 67-71 [Дб];
Вес горелки: 24 [кг]";FBR_GAS_X5.jpg;5504;FBR;151;349;Природный газ;;;;;;1;CECT002757R057027;5;10;15;
"Горелка газовая FBR GAS XP 60 CE TC EVO + R. CE-CT D1""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Мощность мин. - макс.: 200-542 [Мкал/ч];
Мощность мин. - макс.: 232-630 [кВт];
Расход G20 (природный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 23.3-63.3 [м?/ч];
Расход G31 (сжиженный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 9-24.5 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 115.3 / 60 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 54.5 / 37.4 [мбар];
Мин. давление газа D1""1/2-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 17.7 / 21.8 [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 360 [мбар];
Уровень электрозащиты: IP 40;
Уровень шума мин - макс: 69-72 [Дб];
Вес горелки: 29.5 [кг]";FBR_GAS_XP60_EVO.jpg;5669;FBR;232;630;Природный газ;;;;;;1;CECT002345R057023;5;10;15;
"Горелка газовая FBR GAS XP 60 CE TL EVO + R. CE-CT D1""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Мощность мин. - макс.: 200-542 [Мкал/ч];
Мощность мин. - макс.: 232-630 [кВт];
Расход G20 (природный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 23.3-63.3 [м?/ч];
Расход G31 (сжиженный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 9-24.5 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 115.3 / 60 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 54.5 / 37.4 [мбар];
Мин. давление газа D1""1/2-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 17.7 / 21.8 [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 360 [мбар];
Уровень электрозащиты: IP 40;
Уровень шума мин - макс: 69-72 [Дб];
Вес горелки: 29.5 [кг]";FBR_GAS_XP60_EVO.jpg;5752;FBR;232;630;Природный газ;;;;;;1;CECT002346R057023;5;10;15;
"Горелка газовая FBR GAS XP 60 CE TC EVO + R. CE-CT D1""1/4-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Мощность мин. - макс.: 200-542 [Мкал/ч];
Мощность мин. - макс.: 232-630 [кВт];
Расход G20 (природный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 23.3-63.3 [м?/ч];
Расход G31 (сжиженный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 9-24.5 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 115.3 / 60 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 54.5 / 37.4 [мбар];
Мин. давление газа D1""1/2-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 17.7 / 21.8 [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 360 [мбар];
Уровень электрозащиты: IP 40;
Уровень шума мин - макс: 69-72 [Дб];
Вес горелки: 29.5 [кг]";FBR_GAS_XP60_EVO.jpg;5926;FBR;232;630;Природный газ;;;;;;1;CECT002345R057025;5;10;15;
"Горелка газовая FBR GAS XP 60 CE TL EVO + R. CE-CT D1""1/4-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Мощность мин. - макс.: 200-542 [Мкал/ч];
Мощность мин. - макс.: 232-630 [кВт];
Расход G20 (природный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 23.3-63.3 [м?/ч];
Расход G31 (сжиженный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 9-24.5 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 115.3 / 60 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 54.5 / 37.4 [мбар];
Мин. давление газа D1""1/2-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 17.7 / 21.8 [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 360 [мбар];
Уровень электрозащиты: IP 40;
Уровень шума мин - макс: 69-72 [Дб];
Вес горелки: 29.5 [кг]";FBR_GAS_XP60_EVO.jpg;6009;FBR;232;630;Природный газ;;;;;;1;CECT002346R057025;5;10;15;
"Горелка газовая FBR GAS XP 60 CE TC EVO + R. CE-CT D1""1/2-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Мощность мин. - макс.: 200-542 [Мкал/ч];
Мощность мин. - макс.: 232-630 [кВт];
Расход G20 (природный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 23.3-63.3 [м?/ч];
Расход G31 (сжиженный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 9-24.5 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 115.3 / 60 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 54.5 / 37.4 [мбар];
Мин. давление газа D1""1/2-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 17.7 / 21.8 [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 360 [мбар];
Уровень электрозащиты: IP 40;
Уровень шума мин - макс: 69-72 [Дб];
Вес горелки: 29.5 [кг]";FBR_GAS_XP60_EVO.jpg;6422;FBR;232;630;Природный газ;;;;;;1;CECT002345R057027;5;10;15;
"Горелка газовая FBR GAS XP 60 CE TL EVO + R. CE-CT D1""1/2-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Мощность мин. - макс.: 200-542 [Мкал/ч];
Мощность мин. - макс.: 232-630 [кВт];
Расход G20 (природный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 23.3-63.3 [м?/ч];
Расход G31 (сжиженный газ) мин. 1-й ст./мин. 2-й ст. – макс. 2-й ст.: 9-24.5 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 115.3 / 60 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 54.5 / 37.4 [мбар];
Мин. давление газа D1""1/2-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 17.7 / 21.8 [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 360 [мбар];
Уровень электрозащиты: IP 40;
Уровень шума мин - макс: 69-72 [Дб];
Вес горелки: 29.5 [кг]";FBR_GAS_XP60_EVO.jpg;6505;FBR;232;630;Природный газ;;;;;;1;CECT002346R057027;5;10;15;
"Горелка газовая FBR GAS X 1 CE F + R. CE-CT D1/2""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 20-50 [Мкал/ч];
Тепловая мощность min. - max.: 23.2-58.1 [кВт];
Расход G20 (природный газ) min. - max.: 2.3-5.8 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 0.9-2.2 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 60 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 59-60 [Дб];
Вес горелки: 16 [кг]";FBR_GAS_X_1_2_F.jpg;3369;FBR;23,2;58,1;Природный газ;;;;;;1;CECT002638R057152;5;10;15;
"Горелка газовая FBR GAS X 2 CE F + R. CE-CT D3/4""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 35-80 [Мкал/ч];
Тепловая мощность min. - max.: 40.7-93 [кВт];
Расход G20 (природный газ) min. - max.: 4.1-9.4 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 1.6-3.6 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 18/24 [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 60-61 [Дб];
Вес горелки: 16 [кг]";FBR_GAS_X_1_2_F.jpg;3944;FBR;40,7;93;Природный газ;;;;;;1;CECT002640R057153;5;10;15;
"Горелка газовая FBR GAS X 3 CE F + R. CE-CT D1""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 60-150 [Мкал/ч];
Тепловая мощность min. - max.: 69.8-174 [кВт];
Расход G20 (природный газ) min. - max.: 7-17.5 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 2.7-6.8 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 64-66 [Дб];
Вес горелки: 17 [кг]";FBR_GAS_X_3_4_5_F.jpg;4378;FBR;69,8;174;Природный газ;;;;;;1;CECT002722R057023;5;10;15;
"Горелка газовая FBR GAS X 3 CE F + R. CE-CT D1""1/4-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 60-150 [Мкал/ч];
Тепловая мощность min. - max.: 69.8-174 [кВт];
Расход G20 (природный газ) min. - max.: 7-17.5 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 2.7-6.8 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 64-66 [Дб];
Вес горелки: 17 [кг]";FBR_GAS_X_3_4_5_F.jpg;4635;FBR;69,8;174;Природный газ;;;;;;1;CECT002722R057025;5;10;15;
"Горелка газовая FBR GAS X 4 CE F + R. CE-CT D1""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 100-200 [Мкал/ч];
Тепловая мощность min. - max.: 116-232 [кВт];
Расход G20 (природный газ) min. - max.: 11.7-23.4 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 4.5-9 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/21 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 64-66 [Дб];
Вес горелки: 19 [кг]";FBR_GAS_X_3_4_5_F.jpg;4560;FBR;116;232;Природный газ;;;;;;1;CECT002720R057023;5;10;15;
"Горелка газовая FBR GAS X 4 CE F + R. CE-CT D1""1/4-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 100-200 [Мкал/ч];
Тепловая мощность min. - max.: 116-232 [кВт];
Расход G20 (природный газ) min. - max.: 11.7-23.4 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 4.5-9 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/21 [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 360 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 64-66 [Дб];
Вес горелки: 19 [кг]";FBR_GAS_X_3_4_5_F.jpg;4817;FBR;116;232;Природный газ;;;;;;1;CECT002720R057025;5;10;15;
"Горелка газовая FBR GAS X 1/2 CE TC + R. CE-CT D1/2""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Мощность мин. - макс.: 15.5/20-50 [Мкал/ч];
Мощность мин. - макс.: 18/23.2-58.1 [кВт];
Расход G20 (ПРИРОДНЫЙ ГАЗ) мин. - макс.: 1.8/2.3-5.8 [м?/ч];
Расход G31 (сжиженный газ) мин. - макс.: 0.7/0.9-2.3 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа) ДВУХСТУПЕНЧАТЫЕ;
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 60 [мбар];
Номинальная электрическая мощность: 110 [Вт];
Двигатель вентилятора: 75 [Вт];
Номинальная потребляемая мощность: 0.55 [A];
Уровень электрозащиты: IP 40;
Уровень шума мин. - макс.: 60-61 [Дб];
Вес горелки: 10 [кг].";FBR_GAS X1-5--2 CE.jpg;4469;FBR;18;58,1;Природный газ;;;;;;1;CECT006778R057157;5;10;15;
"Горелка газовая FBR GAS X 1/2 CE TL + R. CE-CT D1/2""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Мощность мин. - макс.: 15.5/20-50 [Мкал/ч];
Мощность мин. - макс.: 18/23.2-58.1 [кВт];
Расход G20 (ПРИРОДНЫЙ ГАЗ) мин. - макс.: 1.8/2.3-5.8 [м?/ч];
Расход G31 (сжиженный газ) мин. - макс.: 0.7/0.9-2.3 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа) ДВУХСТУПЕНЧАТЫЕ;
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 14/31 [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 60 [мбар];
Номинальная электрическая мощность: 110 [Вт];
Двигатель вентилятора: 75 [Вт];
Номинальная потребляемая мощность: 0.55 [A];
Уровень электрозащиты: IP 40;
Уровень шума мин. - макс.: 60-61 [Дб];
Вес горелки: 10 [кг].";FBR_GAS X1-5--2 CE.jpg;4552;FBR;18;58,1;Природный газ;;;;;;1;CECT006779R057157;5;10;15;
